property_id,listing_date,property_type,city,neighborhood_tier,zipcode_crime_rate,school_rating,distance_to_downtown_miles,walk_score,bedrooms,bathrooms,square_feet,lot_size_sqft,stories,garage_spaces,year_built,house_age,has_basement,has_pool,overall_condition,kitchen_quality,hvac_condition,roof_condition,renovation_year,years_since_renovation,days_on_market,listing_season,market_trend,interest_rate,has_fireplace,has_patio_deck,has_security_system,hoa_fees,sale_price,high_value_property
PROP_00000032,23-08-2023,Condo,Phoenix,Good,3.05,5,3.8,29,3,1.5,1733,14644,2,0,2015,9,No,No,Fair,Good,Fair,Fair,,9,8,Summer,Rising,6.09,No,No,Yes,0,734519,No
PROP_00000033,31-10-2023,Multi-Family,Austin,Average,4.67,3,13,29,3,1,2047,5485,2,2,1950,74,No,No,Good,Average,Good,Fair,2000,24,37,Spring,Stable,7.62,No,Yes,No,0,553592,No
PROP_00000034,19-03-2023,Single Family,Denver,Average,0.06,7,15.5,77,4,1,1998,12707,2,3,1983,41,Yes,No,Good,Basic,Fair,Good,2000,24,11,Spring,Stable,8.53,Yes,Yes,No,257,686610,No
PROP_00000035,06-01-2023,Townhouse,Seattle,Average,0.34,5,9.4,29,1,1,2007,1000,2,3,1944,80,No,No,Good,Good,Fair,New,2011,13,25,Winter,Declining,6.85,No,Yes,Yes,0,562938,No
PROP_00000036,02-04-2023,Condo,Austin,Good,1,7,9.6,18,2,2.5,1180,15708,1,1,2009,15,No,No,Good,Premium,Old,Needs Replacement,2018,6,39,Fall,Declining,5.67,Yes,Yes,Yes,0,796072,Yes
PROP_00000037,09-03-2023,Single Family,Atlanta,Good,3.49,8,6.8,65,2,2.5,1904,1139,1,0,1978,46,Yes,No,Excellent,Good,Good,Fair,,46,42,Winter,Declining,6.38,No,No,No,206,778958,No
PROP_00000038,21-06-2023,Townhouse,Austin,Average,0.25,6,8.4,69,5,2,2683,9653,2,1,1993,31,No,Yes,Excellent,Premium,Fair,Fair,,31,3,Summer,Rising,6.47,Yes,Yes,Yes,0,1022514,Yes
PROP_00000039,14-06-2023,Townhouse,Phoenix,Average,0.8,7,17.6,54,5,2.5,2532,8060,2,2,1942,82,Yes,No,Excellent,Premium,Good,Fair,,82,99,Summer,Rising,6.83,No,No,No,0,791197,Yes
PROP_00000040,02-05-2023,Single Family,Seattle,Average,5.03,10,13,63,4,2,2281,4858,1,2,1990,34,No,No,Good,Average,Good,Fair,2003,21,3,Fall,Stable,6.58,No,Yes,No,0,834242,Yes
PROP_00000041,23-02-2023,Condo,Seattle,Good,3.81,7,8.7,57,3,4,2165,1000,2,3,1996,28,No,No,Fair,Good,New,Needs Replacement,2019,5,20,Spring,Stable,6.34,No,Yes,No,0,817396,Yes
PROP_00000042,21-02-2023,Townhouse,Seattle,Average,2.55,9,0.5,28,3,2.5,1565,3848,2,3,1976,48,Yes,No,Good,Good,Good,Good,,48,72,Summer,Rising,6.56,Yes,Yes,No,337,711087,No
PROP_00000043,19-02-2023,Single Family,Phoenix,Average,0.82,6,0.7,38,4,3,2223,6314,2,1,1977,47,No,No,Fair,Good,Fair,Needs Replacement,,47,37,Winter,Stable,7.1,No,Yes,No,0,681327,No
PROP_00000044,03-04-2023,Single Family,Austin,Developing,2.86,6,9.9,64,3,3.5,2304,6023,1,2,1966,58,Yes,No,Good,Good,Fair,Fair,,58,17,Spring,Stable,5.84,No,Yes,No,0,755498,No
PROP_00000045,16-12-2023,Single Family,Phoenix,Good,1.19,9,0.9,58,2,3.5,1315,6283,2,0,1947,77,No,No,Good,Average,Good,Good,2000,24,1,Fall,Stable,7.8,No,Yes,Yes,0,505167,No
PROP_00000046,14-05-2023,Single Family,Austin,Good,1.04,10,1.9,20,3,1.5,1945,6208,1,0,1953,71,Yes,No,Good,Average,Good,Good,,71,26,Fall,Rising,6.68,Yes,No,Yes,317,680074,No
PROP_00000047,21-05-2023,Condo,Phoenix,Good,1.54,8,5.5,37,3,3,2158,25367,2,2,1976,48,No,No,Fair,Basic,Good,Needs Replacement,2019,5,4,Winter,Rising,5.88,Yes,Yes,Yes,322,738310,No
PROP_00000048,20-08-2023,Single Family,Atlanta,Good,0.6,6,1.7,60,4,2.5,1640,1000,2,2,1984,40,Yes,No,Fair,Average,Good,Good,,40,44,Winter,Stable,6.32,No,No,No,162,595783,No
PROP_00000049,01-08-2023,Single Family,Phoenix,Developing,3.94,9,18.6,93,1,2.5,1220,26351,2,2,1980,44,No,No,Excellent,Good,New,Good,2010,14,23,Fall,Rising,6.2,No,Yes,No,0,659493,No
PROP_00000050,01-01-2023,Condo,Seattle,Good,15.3,9,1.6,19,3,2.5,1873,22062,2,2,2010,14,Yes,No,Good,Average,Old,New,,14,12,Fall,Declining,6.67,No,No,No,269,1064753,Yes
PROP_00000051,09-05-2023,Single Family,Seattle,Good,0.16,7,8.9,61,4,2.5,2416,3360,2,2,1972,52,No,No,Good,Good,Good,Fair,2023,1,36,Summer,Stable,7.26,Yes,Yes,No,214,771501,No
PROP_00000052,09-09-2023,Condo,Seattle,Premium,2.72,5,8.7,35,3,2.5,2520,5767,1,2,2020,4,No,No,Excellent,Average,Good,Good,2019,5,7,Summer,Rising,5.52,Yes,Yes,Yes,383,1015016,Yes
PROP_00000053,17-05-2023,Single Family,Phoenix,Premium,2.43,7,13.9,72,3,3,2393,1402,2,1,1968,56,Yes,No,Good,Good,Fair,Good,2015,9,16,Spring,Stable,7.08,No,Yes,No,0,806512,Yes
PROP_00000054,26-03-2023,Single Family,Atlanta,Average,1.67,7,0.9,71,5,2,2586,1006,1,3,2004,20,Yes,No,Good,Good,Good,Good,,20,91,Spring,Rising,5.57,Yes,Yes,Yes,0,827854,Yes
PROP_00000055,08-01-2023,Single Family,Denver,Premium,2.36,7,10.1,95,4,2.5,2596,17665,1,0,1944,80,No,No,Excellent,Good,Fair,Good,,80,41,Winter,Stable,7.42,Yes,Yes,No,0,861194,Yes
PROP_00000056,03-01-2023,Single Family,Austin,Average,6.13,5,1.1,26,2,3,1301,1588,3,1,2017,7,No,No,Good,Basic,Fair,Fair,,7,1,Fall,Declining,5.79,No,Yes,Yes,263,725940,No
PROP_00000057,20-12-2023,Single Family,Austin,Average,0.32,7,3.8,100,3,3,2132,19663,2,3,2007,17,Yes,No,Fair,Premium,Fair,Good,,17,97,Spring,Rising,6.7,Yes,No,Yes,0,969220,Yes
PROP_00000058,28-11-2023,Multi-Family,Austin,Good,1.5,4,12,68,4,3,2661,4885,1,0,1954,70,No,Yes,Fair,Average,Good,Good,,70,19,Spring,Rising,6.84,No,No,No,0,722835,No
PROP_00000059,18-08-2023,Single Family,Seattle,Good,2.65,8,24.4,53,5,2.5,2685,29248,2,2,2022,2,No,No,Good,Average,Good,New,2006,18,70,Spring,Stable,6.13,Yes,Yes,No,0,1140156,Yes
PROP_00000060,07-08-2023,Single Family,Atlanta,Average,2.11,8,4.1,54,4,3,2662,10358,1,1,1965,59,Yes,No,Excellent,Average,Good,Good,,59,24,Summer,Rising,5.49,No,Yes,Yes,0,744557,No
PROP_00000061,24-12-2023,Single Family,Austin,Developing,0.32,6,1.1,85,5,2,2695,10523,3,1,1981,43,No,Yes,Fair,Good,Good,New,2015,9,5,Spring,Rising,5.51,No,No,No,262,904520,Yes
PROP_00000062,29-03-2023,Single Family,Denver,Good,2.44,6,2.3,68,4,4,2299,13428,1,0,2016,8,Yes,No,Fair,Premium,New,Needs Replacement,2004,20,62,Fall,Stable,5.63,Yes,Yes,Yes,148,989246,Yes
PROP_00000063,10-10-2023,Townhouse,Phoenix,Good,0.84,8,8.5,66,5,1.5,2173,7560,3,2,1975,49,No,No,Good,Good,Good,New,2011,13,30,Spring,Stable,5.64,Yes,Yes,No,330,701489,No
PROP_00000064,27-11-2023,Condo,Austin,Good,1.94,9,4.4,52,2,2,1625,5509,2,2,1989,35,No,Yes,Good,Basic,New,New,2003,21,5,Spring,Rising,6.46,Yes,Yes,No,187,782199,Yes
PROP_00000065,14-11-2023,Single Family,Seattle,Average,2.65,7,8.6,72,4,2,2571,4796,1,1,1973,51,No,No,Good,Good,Fair,Good,,51,20,Winter,Rising,6.96,Yes,Yes,No,248,818120,Yes
PROP_00000066,07-11-2023,Single Family,Denver,Good,0.82,7,12,24,3,4,1670,1000,3,2,2018,6,No,Yes,Fair,Average,New,Fair,2009,15,32,Winter,Stable,7.01,Yes,No,No,0,856547,Yes
PROP_00000067,25-02-2023,Single Family,Seattle,Good,1.03,5,0.5,10,3,3,1544,8166,2,2,2002,22,No,No,Good,Average,Old,Needs Replacement,,13,15,Spring,Rising,8.02,Yes,No,No,0,769952,No
PROP_00000068,05-02-2023,Condo,Phoenix,Developing,7.66,7,2.4,82,4,2.5,2339,1000,2,0,2006,18,Yes,Yes,Fair,Good,Fair,New,2021,3,4,Spring,Declining,6.53,Yes,No,Yes,0,790159,Yes
PROP_00000069,29-03-2023,Townhouse,Atlanta,Premium,0.29,7,0.5,32,3,2,2125,3939,2,3,1977,47,No,No,Good,Good,Fair,New,,47,8,Spring,Stable,6.95,Yes,Yes,No,254,771127,No
PROP_00000070,04-08-2023,Condo,Denver,Developing,1.03,8,3.7,70,4,3,1917,1000,2,0,1971,53,Yes,No,Good,Premium,Fair,Good,2005,19,8,Summer,Rising,4.5,Yes,No,Yes,0,770486,No
PROP_00000071,03-10-2023,Single Family,Denver,Good,5.85,6,4.1,48,2,3,1113,5768,1,2,1963,61,No,Yes,Good,Good,Good,Good,2003,21,26,Spring,Rising,5.21,No,Yes,No,0,559972,No
PROP_00000072,12-08-2023,Single Family,Austin,Average,0.7,9,7.5,100,5,2,2275,13668,2,2,1967,57,No,No,Fair,Premium,Fair,Good,,57,14,Winter,Rising,6.02,Yes,Yes,No,0,849447,Yes
PROP_00000073,19-06-2023,Townhouse,Atlanta,Good,4.42,8,9.1,53,4,1,3061,3166,2,3,1993,31,No,No,Excellent,Basic,New,Good,,31,9,Spring,Stable,8.04,No,Yes,Yes,0,847263,Yes
PROP_00000074,27-08-2023,Townhouse,Phoenix,Average,2.84,9,2,51,3,1.5,1718,10654,1,1,2010,14,No,No,Good,Good,Good,Good,,14,21,Spring,Stable,7.43,No,No,Yes,0,697869,No
PROP_00000075,24-11-2023,Single Family,Phoenix,Developing,1.92,6,3.6,37,2,2,1981,1000,3,2,1982,42,No,No,Excellent,Basic,Old,Good,,42,34,Spring,Stable,7.26,Yes,Yes,No,371,623058,No
PROP_00000076,21-10-2023,Single Family,Austin,Average,3.32,7,7.4,40,2,2,1607,7886,2,0,2013,11,No,No,Fair,Premium,Good,Needs Replacement,2000,24,6,Summer,Stable,5.26,No,No,Yes,26,668455,No
PROP_00000077,01-01-2023,Condo,Seattle,Developing,0.99,5,3.4,49,2,2.5,2003,27108,1,1,2015,9,No,Yes,Poor,Good,Good,Fair,,9,22,Summer,Rising,5.89,Yes,Yes,Yes,291,893691,Yes
PROP_00000078,28-02-2023,Single Family,Austin,Average,0.04,9,0.8,50,5,3,2582,5536,2,2,1980,44,No,No,Fair,Good,New,Fair,2002,22,4,Fall,Stable,6.41,Yes,Yes,Yes,0,961758,Yes
PROP_00000079,15-10-2023,Townhouse,Denver,Good,2.54,9,24.1,46,3,3,1970,8853,2,2,1950,74,No,No,Excellent,Good,Good,New,,74,44,Summer,Declining,7.23,No,Yes,Yes,307,784509,Yes
PROP_00000080,06-06-2023,Single Family,Denver,Good,2.38,6,4.4,61,4,2,2312,6577,2,0,2006,18,No,No,Good,Average,Old,Fair,,18,4,Summer,Stable,6.47,Yes,Yes,No,,885488,Yes
PROP_00000081,22-06-2023,Single Family,Denver,Average,0.63,5,1.4,52,3,2.5,1612,5143,2,1,2017,7,No,No,Good,Good,Good,Fair,2002,22,4,Winter,Stable,7.05,No,Yes,No,125,701559,No
PROP_00000082,09-08-2023,Single Family,Seattle,Good,1.5,4,7.6,56,4,3,2250,6951,2,2,1940,84,No,Yes,Fair,Basic,New,Needs Replacement,2009,15,3,Spring,Rising,6.57,Yes,Yes,No,230,766376,No
PROP_00000083,02-11-2023,Townhouse,Phoenix,Developing,3.69,8,1.5,45,5,3.5,2719,8152,2,2,2014,10,Yes,No,Poor,Good,New,Good,2007,17,114,Spring,Rising,7.14,No,No,No,0,1004789,Yes
PROP_00000084,18-07-2023,Single Family,Atlanta,Average,4.84,8,6.1,21,4,2,2767,5437,2,2,2001,23,Yes,No,Good,Good,Good,New,2019,5,21,Fall,Stable,7.3,No,Yes,No,0,787213,Yes
PROP_00000085,14-03-2023,Single Family,Phoenix,Average,0.05,7,3,75,4,2.5,,18785,2,2,2017,7,No,No,Fair,Average,Fair,Fair,,7,1,Winter,Declining,7.45,No,Yes,No,,935537,Yes
PROP_00000086,10-03-2023,Single Family,Denver,Premium,6.68,8,2.6,10,5,3,2847,1000,2,1,1941,83,No,No,Good,Basic,Old,Good,,83,12,Fall,Rising,7.3,No,Yes,No,383,938167,Yes
PROP_00000087,01-03-2023,Condo,Austin,Good,4.12,6,3,51,3,2.5,,9436,1,0,1969,55,Yes,No,Good,Basic,Good,Good,2013,11,42,Summer,Stable,5.44,Yes,No,No,126,806877,Yes
PROP_00000088,03-03-2023,Single Family,Austin,Good,0.26,8,19,43,6,2.5,3087,4694,3,3,1945,79,No,No,Good,Good,Old,Needs Replacement,,79,17,Spring,Declining,5.86,No,Yes,No,327,800614,Yes
PROP_00000089,10-04-2023,Condo,Denver,Average,5.11,8,0.5,69,5,1,3345,1116,2,1,1970,54,Yes,No,Fair,Average,Fair,Good,,54,3,Summer,Stable,5.41,No,No,No,0,869107,Yes
PROP_00000090,21-07-2023,Condo,Seattle,Good,1.78,7,2,62,3,3,2213,1543,2,2,1998,26,No,No,Good,Basic,Good,Fair,,26,1,Winter,Rising,5.19,Yes,Yes,No,0,795483,Yes
PROP_00000091,10-07-2023,Single Family,Austin,Average,3.34,7,4.8,58,6,2.5,2797,9162,2,3,2004,20,Yes,No,Good,Good,Good,New,2015,9,4,Fall,Rising,4.67,No,No,No,0,1031679,Yes
PROP_00000092,10-02-2023,Single Family,Seattle,Average,2.12,6,5.6,39,5,3,2614,1000,2,2,1991,33,Yes,No,Fair,Good,Fair,Good,2013,11,1,Summer,Rising,4.11,Yes,Yes,No,0,848055,Yes
PROP_00000093,15-02-2023,Single Family,Austin,Average,0.7,7,5.3,63,2,2,1704,9822,2,0,1952,72,Yes,No,Fair,Average,New,Good,2021,3,54,Summer,Rising,6.92,No,Yes,No,0,507404,No
PROP_00000094,06-04-2023,Single Family,Atlanta,Average,1.03,6,5.6,48,4,3,2437,14339,2,2,1998,26,No,No,Fair,Good,New,New,2012,12,31,Winter,Declining,5.02,Yes,Yes,No,0,818969,Yes
PROP_00000095,21-12-2023,Condo,Austin,Good,10.27,7,1,67,3,2,1547,3491,3,0,2023,1,Yes,No,Excellent,Good,Good,Good,,20,11,Spring,Declining,7.69,Yes,Yes,No,0,877473,Yes
PROP_00000096,17-07-2023,Condo,Atlanta,Average,2.26,7,6.2,32,4,2,2501,4644,2,0,1962,62,Yes,No,Fair,Good,Good,Good,,62,14,Winter,Stable,7.5,Yes,Yes,No,284,573681,No
PROP_00000097,28-08-2023,Single Family,Denver,Average,0.92,7,3.9,55,4,2,2214,4563,2,1,1980,44,Yes,No,Fair,Good,New,Good,,44,4,Summer,Stable,7.62,Yes,No,No,241,740931,No
PROP_00000098,18-05-2023,Condo,Austin,Developing,4.32,8,5.7,28,3,4,1887,13880,2,3,2007,17,No,No,Fair,Average,Good,Fair,,17,27,Summer,Rising,6.91,Yes,Yes,No,0,876160,Yes
PROP_00000099,08-06-2023,Single Family,Denver,Average,4.9,7,2.4,32,2,1,2352,1000,2,3,1987,37,No,No,Good,Good,Good,Good,,37,51,Summer,Stable,7.66,Yes,No,No,292,626718,No
PROP_00000100,06-03-2023,Single Family,Austin,Average,0.11,8,4.5,37,2,2,2364,2011,2,2,2014,10,No,No,Good,Good,New,Good,,10,19,Summer,Stable,6.84,No,Yes,Yes,0,788037,Yes
PROP_00000101,26-11-2023,Townhouse,Austin,Premium,1.64,6,6,12,3,2,2045,2573,2,3,1984,40,No,No,Good,Average,Old,Good,,40,8,Summer,Rising,6.66,Yes,Yes,Yes,,866550,Yes
PROP_00000102,11-04-2023,Single Family,Atlanta,Good,2.26,6,9.6,90,3,4,2090,28624,3,2,1998,26,Yes,No,Excellent,Good,Good,Fair,2021,3,3,Spring,Stable,7.76,Yes,Yes,Yes,0,991416,Yes
PROP_00000103,19-10-2023,Condo,Seattle,Average,4.25,7,10.8,49,2,1.5,1422,5583,3,2,2010,14,Yes,No,Good,Good,Fair,New,2004,20,44,Summer,Stable,6.76,Yes,No,No,0,704799,No
PROP_00000104,02-11-2023,Single Family,Seattle,Average,1.39,7,3.8,60,5,2,2493,6275,1,2,1944,80,Yes,No,Excellent,Premium,Good,Good,2016,8,1,Spring,Rising,7.57,Yes,Yes,No,236,831576,Yes
PROP_00000105,03-11-2023,Condo,Denver,Average,1.72,8,4.3,58,3,2,1660,10322,2,1,1968,56,No,No,Good,Good,Fair,New,,56,100,Spring,Rising,7.5,No,Yes,Yes,0,596182,No
PROP_00000106,27-03-2023,Single Family,Phoenix,Good,1.32,8,8.1,82,4,2,2626,1000,2,3,2016,8,Yes,No,Good,Good,Old,Fair,2022,2,1,Winter,Stable,5.03,No,Yes,No,245,977881,Yes
PROP_00000107,12-11-2023,Single Family,Denver,Good,0.34,8,3.5,62,4,3,1943,1000,1,0,1943,81,No,No,Good,Good,New,Good,,81,8,Fall,Declining,5.27,Yes,Yes,Yes,0,794100,Yes
PROP_00000108,05-08-2023,Single Family,Denver,Developing,5.97,8,2.1,59,4,2.5,2847,2544,1,0,1960,64,No,No,Good,Good,Good,Good,,64,7,Spring,Rising,5.91,No,No,Yes,0,739386,No
PROP_00000109,10-04-2023,Single Family,Seattle,Premium,3.44,9,5.1,98,3,3,2207,1514,2,2,2016,8,No,Yes,Good,Good,Good,Good,,8,31,Winter,Rising,6.87,Yes,Yes,Yes,0,1129047,Yes
PROP_00000110,10-10-2023,Condo,Seattle,Developing,5.82,7,0.5,57,2,2.5,1552,1758,1,2,1981,43,Yes,Yes,Fair,Average,Fair,New,2022,2,10,Spring,Stable,6.83,No,Yes,Yes,254,767928,No
PROP_00000111,23-04-2023,Single Family,Atlanta,Good,0.53,8,11.7,63,2,1.5,1436,28181,1,0,1995,29,Yes,No,Good,Good,Old,Fair,2000,24,12,Fall,Declining,6.22,No,Yes,No,364,734009,No
PROP_00000112,12-01-2023,Single Family,Denver,Average,4.99,6,14.9,90,2,2,1581,2519,1,2,1994,30,No,No,Good,Premium,Good,Fair,2007,17,25,Summer,Stable,5.51,Yes,Yes,Yes,0,520445,No
PROP_00000113,02-12-2023,Single Family,Austin,Average,3.33,8,0.5,60,4,2,1599,4148,2,0,1951,73,Yes,Yes,Good,Good,Fair,Fair,2020,4,7,Spring,Stable,6.82,No,Yes,No,0,693980,No
PROP_00000114,27-01-2023,Townhouse,Atlanta,Good,5.17,7,2.8,53,5,1.5,3469,6037,1,2,1981,43,No,No,Poor,Good,Good,Good,,43,4,Fall,Rising,6.71,Yes,Yes,Yes,166,856904,Yes
PROP_00000115,25-12-2023,Single Family,Seattle,Developing,1.11,8,4.2,48,3,2.5,1382,7025,1,2,1982,42,No,No,Good,Average,Fair,Good,2004,20,24,Spring,Rising,6.15,No,No,No,233,523115,No
PROP_00000116,27-09-2023,Condo,Seattle,Premium,0.89,7,11.9,24,5,2.5,2883,2374,1,0,2004,20,No,No,Poor,Average,Good,Needs Replacement,,20,42,Fall,Rising,6.07,Yes,Yes,No,295,1056987,Yes
PROP_00000117,01-05-2023,Townhouse,Austin,Premium,2.72,6,0.5,43,4,1.5,2136,8115,2,0,1982,42,No,Yes,Fair,Good,New,Fair,,42,19,Spring,Rising,5.78,Yes,Yes,No,170,820300,Yes
PROP_00000118,19-01-2023,Single Family,Seattle,Premium,1.24,10,26.6,64,4,2.5,2423,5659,1,1,1954,70,No,No,Good,Good,Fair,Fair,2018,6,52,Spring,Stable,6.09,Yes,No,Yes,193,950746,Yes
PROP_00000119,16-04-2023,Single Family,Atlanta,Good,0.98,8,6.8,39,2,3,1089,4856,2,1,1975,49,Yes,No,Good,Average,Fair,Good,2012,12,3,Spring,Rising,8.5,No,Yes,No,0,516625,No
